Question,Products_name
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Острый халапеньо"",""Нежный цыпленок"",""Свежие томаты"",""Маринованные огурчики"",""Соус барбекю""","[""Додо Small"",""Острый Додстер""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""смесь сыров чеддер и пармезан"",""блю чиз"",""альфредо""","[""Додо Medium"",""Четыре сыра Medium""]"
"""сырный соус"",""цыпленок"",""томаты"",""моцарелла"",""смесь сыров"",""соус альфредо"",""чеснок""","[""Сырный цыпленок Small""]"
"""сырный соус"",""цыпленок"",""томаты"",""моцарелла"",""смесь сыров"",""соус альфредо"",""чеснок"",""смесь сыров чеддер и пармезан"",""блю чиз"",""альфредо""","[""Сырный цыпленок Medium"",""Четыре сыра Medium""]"
"""сырный соус"",""цыпленок"",""томаты"",""моцарелла"",""смесь сыров"",""соус альфредо"",""чеснок"",""томатный соус"",""пикантная пепперони"",""ветчина"",""кубики брынзы"",""шампиньоны"",""итальянские травы""","[""Сырный цыпленок Medium"",""Четыре сезона  Medium""]"
"""сырный соус"",""цыпленок"",""томаты"",""моцарелла"",""смесь сыров"",""соус альфредо"",""чеснок"",""томатный соус"",""пикантная пепперони"",""ветчина"",""кубики брынзы"",""шампиньоны"",""итальянские травы""","[""Сырный цыпленок Small"",""Четыре сезона  Small""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю""","[""Цыпленок барбекю Large""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю""","[""Цыпленок барбекю Small""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""пикантная пепперони"",""ветчина"",""кубики брынзы"",""томаты"",""шампиньоны"",""итальянские травы""","[""Цыпленок барбекю Medium"",""Четыре сезона  Medium""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""смесь сыров чеддер и пармезан"",""блю чиз"",""альфредо""","[""Цыпленок барбекю Medium"",""Четыре сыра Medium""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""соус Ранч"",""ветчина"",""томаты"",""чеснок""","[""Цыпленок барбекю Medium"",""Цыпленок ранч Medium""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""соус Ранч"",""ветчина"",""томаты"",""чеснок""","[""Цыпленок барбекю Small"",""Цыпленок ранч Small""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""Цыпленок"",""ананас"",""соус карри"",""лук"",""зеленый перец"",""моцарелла и томатный соус""","[""Цыпленок барбекю Medium"",""Цыпленок карри Medium""]"
(15) five teen pizzas,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
(15) five teen pizzas ,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
(16) = шестьнадцать одинаковых пицц одного размера,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
(16) = sixteen identical pizzas of the same size,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
"[""Цыпленок"",""ананас"",""соус карри"",""лук"",""зеленый перец"",""моцарелла и томатный соус""]","[""Цыпленок карри Large""]"
1 с сыром и одну с ветчиной,"[""Ветчина и сыр Small"",""Сырная Medium""]"
1 with cheese and one with ham,"[""Ветчина и сыр Small"",""Сырная Medium""]"
10 + 8 пицц маргарита без мяса,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
10 + 8 meatless margarita pizzas,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
10 додстеров,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной ""]"
10 додстеров,"[""Додстер""]"
10 пицц,"[""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
10 пицц,"[""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона  Medium"",""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium""]"
10 пицц среднего размера,"[""Четыре сезона  Medium"",""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium""]"
10 соусов,"[""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо""]"
10 dodsters,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной ""]"
10 medium pizzas,"[""Четыре сезона  Medium"",""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium""]"
10 pizzas,"[""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
10 pizzas,"[""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона  Medium"",""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium""]"
10 sauces,"[""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо"",""Чесночный соус "",""Сырный соус Додо"",""Барбекю соус Додо""]"
14 средняя пицца маргарита,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
14 medium pizza margherita,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
17 пицц без мяса,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
17 pizzas without meat,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
2 Десерта,"[""Маффин Соленая карамель"",""Маффин Соленая карамель""]"
2 Десерта,"[""Маффин Три шоколада"",""Маффин Три шоколада""]"
"2 Десерта, где один соленый, второй с шоколадом","[""Маффин Соленая карамель"",""Маффин Три шоколада""]"
2 Додстера,"[""Додстер"",""Додстер с ветчиной ""]"
2 Додстера со скидкой,"[""Додстер"",""Додстер""]"
2 Додстера чтобы было дешево,"[""Додстер"",""Острый Додстер""]"
2 Кофе: Латте ,"[""Кофе Латте 0.4"",""Кофе Латте 0.4""]"
2 кофе: Латте или Капучино,"[""Кофе Капучино 0.3"",""Кофе Латте 0.3""]"
2 кофе: Латте или Капучино,"[""Кофе Латте 0.3"",""Кофе Латте 0.3""]"
2 Кофе: Латте или Капучино объемом 0.4,"[""Кофе Капучино 0.4"",""Кофе Латте 0.4""]"
2 маленьких пиццы на двоих,"[""Пепперони Фреш Small"",""Сырная Small""]"
"2 очень голодных человка, которые ненавидят пиццу, но устали и пришли в додо","[""Грибной Стартер"",""Додстер"",""Додстер с ветчиной "",""Сырный Стартер""]"
2 пиццы,"[""Аррива! Medium"",""Бургер-пицца Medium""]"
2 пиццы,"[""Аррива! Medium"",""Колбаски барбекю Medium""]"
2 пиццы и напиток,"[""Аррива! Small"",""Колбаски барбекю Small"",""Добрый Кола Big""]"
2 пиццы и напиток,"[""Ветчина и грибы Small"",""Ветчина и сыр Small"",""Добрый Кола Big""]"
2 пиццы и напиток,"[""Добрый Кола Big"",""Ветчина и грибы Small"",""Ветчина и сыр Small""]"
"2 пиццы, но мой друг не есть мясо, он вегетерианец","[""Бургер-пицца Medium"",""Четыре сезона  Medium""]"
2 соуса,"[""Сырный соус Додо"",""Сырный соус Додо""]"
2 соуса,"[""Сырный соус Додо"",""Чесночный соус ""]"
2 Стартера,"[""Грибной Стартер"",""Грибной Стартер""]"
2 Стартера со скидкой,"[""Грибной Стартер"",""Сырный Стартер""]"
"2 Стартера, на двух человек","[""Сырный Стартер"",""Сырный Стартер""]"
2 сырника и напиток,"[""Кофе Капучино 0.2"",""Малиновое варенье"",""Сырники без топпинга""]"
2 сырника и напиток,"[""Кофе Капучино 0.2"",""Сырники без топпинга"",""Малиновое варенье""]"
2 сырника и напиток,"[""Кофе Капучино 0.3"",""Сырники без топпинга"",""Малиновое варенье"",""Кофе Капучино 0.3"",""Малиновое варенье"",""Сырники без топпинга""]"
2 сырника и напиток,"[""Кофе Капучино 0.3"",""Сырники без топпинга"",""Малиновое варенье""]"
2 сырника и напиток,"[""Кофе Латте 0.2"",""Сырники без топпинга"",""Малиновое варенье""]"
2 сырника и напиток,"[""Сырники без топпинга"",""Малиновое варенье"",""Кофе Латте 0.3""]"
"2 фондана, чего-нибудь сладкого на десерт","[""Фондан 2.0""]"
2 cheesecakes and a drink,"[""Кофе Капучино 0.2"",""Малиновое варенье"",""Сырники без топпинга""]"
2 cheesecakes and a drink,"[""Кофе Капучино 0.2"",""Сырники без топпинга"",""Малиновое варенье""]"
2 cheesecakes and a drink,"[""Кофе Капучино 0.3"",""Сырники без топпинга"",""Малиновое варенье"",""Кофе Капучино 0.3"",""Малиновое варенье"",""Сырники без топпинга""]"
2 cheesecakes and a drink,"[""Кофе Капучино 0.3"",""Сырники без топпинга"",""Малиновое варенье""]"
2 cheesecakes and a drink,"[""Кофе Латте 0.2"",""Сырники без топпинга"",""Малиновое варенье""]"
2 cheesecakes and a drink,"[""Сырники без топпинга"",""Малиновое варенье"",""Кофе Латте 0.3""]"
2 Coffee: Latte,"[""Кофе Латте 0.4"",""Кофе Латте 0.4""]"
2 Coffee: Latte or Cappuccino 0.4,"[""Кофе Капучино 0.4"",""Кофе Латте 0.4""]"
2 coffees: Latte or Cappuccino,"[""Кофе Капучино 0.3"",""Кофе Латте 0.3""]"
2 coffees: Latte or Cappuccino,"[""Кофе Латте 0.3"",""Кофе Латте 0.3""]"
2 desserts,"[""Маффин Соленая карамель"",""Маффин Соленая карамель""]"
2 desserts,"[""Маффин Три шоколада"",""Маффин Три шоколада""]"
"2 desserts, where one is salty, the second with chocolate","[""Маффин Соленая карамель"",""Маффин Три шоколада""]"
2 discounted starters,"[""Грибной Стартер"",""Сырный Стартер""]"
2 Dodsters,"[""Додстер"",""Додстер с ветчиной ""]"
2 Dodsters at a discount,"[""Додстер"",""Додстер""]"
2 Dodsters to keep it cheap,"[""Додстер"",""Острый Додстер""]"
"2 fondants, something sweet for dessert","[""Фондан 2.0""]"
2 pizzas,"[""Аррива! Medium"",""Бургер-пицца Medium""]"
2 pizzas,"[""Аррива! Medium"",""Колбаски барбекю Medium""]"
2 pizzas and a drink,"[""Аррива! Small"",""Колбаски барбекю Small"",""Добрый Кола Big""]"
2 pizzas and a drink,"[""Ветчина и грибы Small"",""Ветчина и сыр Small"",""Добрый Кола Big""]"
2 pizzas and a drink,"[""Добрый Кола Big"",""Ветчина и грибы Small"",""Ветчина и сыр Small""]"
"2 pizzas, but my friend doesn't eat meat, he's a vegan","[""Бургер-пицца Medium"",""Четыре сезона  Medium""]"
2 sauces,"[""Сырный соус Додо"",""Сырный соус Додо""]"
2 sauces,"[""Сырный соус Додо"",""Чесночный соус ""]"
2 small pizzas for two,"[""Пепперони Фреш Small"",""Сырная Small""]"
2 starters,"[""Грибной Стартер"",""Грибной Стартер""]"
"2 Starters, for two people","[""Сырный Стартер"",""Сырный Стартер""]"
2 very hungry people who hate pizza but are tired and come to the dodo,"[""Грибной Стартер"",""Додстер"",""Додстер с ветчиной "",""Сырный Стартер""]"
"20 пицца маргарита, не самые большие","[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
"20 margherita pizza, not the biggest","[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
21 средняя пицца маргарита,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
21 medium pizza margherita,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
3 липтоны,"[""Rich Tea Зеленый 0.5"",""Rich Tea Зеленый с манго 0.5"",""Rich Tea Черный с лимоном 0.5""]"
3 пиццы,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium"",""Сырная Medium""]"
3 пиццы,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium"",""Чоризо фреш Medium""]"
3 пиццы,"[""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
3 пиццы 25 см от 929 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 пиццы 25 см от 929 ₽,"[""Двойной цыпленок Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 пиццы 25 см от 929 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 пиццы и закуска на 1000 рублей,"[""Додстер"",""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 пиццы от 1199 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 пиццы от 1199 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Чоризо фреш Small""]"
3 пиццы от 1199 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 пиццы от 829 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 пиццы от 849 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 пиццы от 849 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 пиццы от 849 ₽,"[""Чоризо фреш Small"",""Сырная Small"",""Пепперони Фреш Small""]"
3 пиццы от 999 ₽,"[""Ветчина и сыр Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 пиццы от 999 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 пиццы от 999 ₽,"[""Чоризо фреш Small"",""Пепперони Фреш Small"",""Сырная Small""]"
"3 ранзых пиццы с сыром, чтобы было не очень дорого","[""Чоризо фреш Medium"",""Сырная Medium"",""Пепперони Фреш Medium""]"
3 early pizzas with cheese so that it is not very expensive,"[""Чоризо фреш Medium"",""Сырная Medium"",""Пепперони Фреш Medium""]"
3 liptons,"[""Rich Tea Зеленый 0.5"",""Rich Tea Зеленый с манго 0.5"",""Rich Tea Черный с лимоном 0.5""]"
3 pizzas,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium"",""Сырная Medium""]"
3 pizzas,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium"",""Чоризо фреш Medium""]"
3 pizzas,"[""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
3 pizzas 25 cm from 929 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 pizzas 25 cm from 929 ₽,"[""Двойной цыпленок Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 pizzas 25 cm from 929 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 pizzas and a snack for 1000 rubles,"[""Додстер"",""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 pizzas from 1199 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 pizzas from 1199 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Чоризо фреш Small""]"
3 pizzas from 1199 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 pizzas from 829 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 pizzas from 849 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 pizzas from 849 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 pizzas from 849 ₽,"[""Чоризо фреш Small"",""Сырная Small"",""Пепперони Фреш Small""]"
3 pizzas from 999 ₽,"[""Ветчина и сыр Small"",""Пепперони Фреш Small"",""Сырная Small""]"
3 pizzas from 999 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
3 pizzas from 999 ₽,"[""Чоризо фреш Small"",""Пепперони Фреш Small"",""Сырная Small""]"
4 вида десертных сладких слоек ,"[""Слоеные палочки с ананасами и брусникой 8.0"",""Слоеные палочки с ананасами и шоколадным соусом 8.0"",""Слоеные палочки с брусникой и клюквенным соусом 8.0"",""Слоеные палочки с соусом манго и ананасами 8.0""]"
4 Закуски,"[""Грибной Стартер"",""Додстер"",""Грибной Стартер"",""Додстер""]"
"4 средних пиццы, один из них четыре сезона","[""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
"4 medium pizzas, one of them is four seasons","[""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
4 pizzas with different size with less meat and more vegetables or cheese,"[""Пепперони Фреш Medium"",""Песто Small"",""Сырная Medium"",""Чоризо фреш Medium""]"
4 pizzas with different sizes with less meat and more vegetables or cheese,"[""Пепперони Фреш Medium"",""Песто Small"",""Сырная Medium"",""Чоризо фреш Medium""]"
4 Snacks,"[""Грибной Стартер"",""Додстер"",""Грибной Стартер"",""Додстер""]"
4 types of dessert sweet puffs,"[""Слоеные палочки с ананасами и брусникой 8.0"",""Слоеные палочки с ананасами и шоколадным соусом 8.0"",""Слоеные палочки с брусникой и клюквенным соусом 8.0"",""Слоеные палочки с соусом манго и ананасами 8.0""]"
5 пицц,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Четыре сезона  Medium""]"
5 пицц,"[""Четыре сезона  Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium""]"
5 пицц без мяса для вегетерианцев,"[""Овощи и грибы Small"",""Четыре сыра Medium"",""Четыре сыра Small"",""Сырная Medium"",""Сырная Small""]"
"5 пицц, выгодно, комбо","[""Маргарита Medium"",""Четыре сезона  Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium""]"
5 разных додстеров и 3 разных морсов,"[""Додстер"",""Додстер Карри"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Морс Вишня  0.45"",""Морс Клюква 0.45"",""Морс Черная смородина 0.45""]"
5 different dodsters and 3 different fruit drinks,"[""Додстер"",""Додстер Карри"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Морс Вишня  0.45"",""Морс Клюква 0.45"",""Морс Черная смородина 0.45""]"
5 pizzas,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Четыре сезона  Medium""]"
5 pizzas,"[""Четыре сезона  Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium""]"
"5 pizzas, profitable, combo","[""Маргарита Medium"",""Четыре сезона  Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium""]"
5 Vegetarian Meatless Pizzas,"[""Овощи и грибы Small"",""Четыре сыра Medium"",""Четыре сыра Small"",""Сырная Medium"",""Сырная Small""]"
6 разных пицц c пепперони,"[""Пепперони Фреш Medium"",""Пепперони Medium"",""Двойная пепперони Medium"",""Четыре сезона"",""Мясная Medium"",""Домашняя Medium""]"
