id,order_date,client_id,quantity,price
146,2023-06-12,53,8,41000
147,2023-06-12,67,6,23250
148,2023-06-12,68,3,6000
149,2023-06-12,3,5,16250
150,2023-06-12,69,3,4500
151,2023-06-12,70,4,9000
152,2023-06-13,17,4,11000
153,2023-06-13,28,3,5925
154,2023-06-13,67,6,24000
155,2023-06-13,64,5,14750
156,2023-06-13,71,6,23100
157,2023-06-13,72,5,17375
158,2023-06-14,45,2,2200
159,2023-06-14,11,2,2750
160,2023-06-17,50,4,8500
161,2023-06-17,39,2,2500
162,2023-06-17,56,3,6000
163,2023-06-17,73,2,3000
164,2023-06-18,74,5,17625
165,2023-06-18,75,8,36800
166,2023-06-18,76,8,40000
167,2023-06-18,30,6,23250
168,2023-06-18,77,2,3050
169,2023-06-18,78,5,15625
170,2023-06-18,3,4,10500
171,2023-06-18,50,7,33425
172,2023-06-19,79,8,42200
173,2023-06-19,40,7,33950
174,2023-06-19,80,7,30625
175,2023-06-19,40,3,5625
176,2023-06-19,21,8,44200
177,2023-06-19,65,3,6375
178,2023-06-19,8,7,30625
179,2023-06-19,22,8,38000
180,2023-06-19,81,9,58725
181,2023-06-20,3,5,15500
182,2023-06-20,70,6,21600
183,2023-06-20,82,2,3300
184,2023-06-20,83,1,750
185,2023-06-20,51,2,2250
186,2023-06-20,53,5,16750
187,2023-06-21,24,2,2500
188,2023-06-21,27,2,3300
189,2023-06-23,1,1,750
190,2023-06-24,42,4,10500
191,2023-06-24,23,3,6750
192,2023-06-24,51,3,6000
193,2023-06-24,84,2,2750
194,2023-06-25,85,8,44000
195,2023-06-25,86,2,3000
196,2023-06-25,87,7,32550
197,2023-06-25,88,1,625
198,2023-06-25,89,4,8000
199,2023-06-25,90,4,9400
200,2023-06-25,4,3,6750
201,2023-06-25,91,7,36050
202,2023-06-26,92,6,23250
203,2023-06-26,52,2,2000
204,2023-06-26,9,6,25500
205,2023-06-26,93,8,44200
206,2023-06-26,94,2,2750
207,2023-06-26,95,1,750
208,2023-06-26,47,2,2000
209,2023-06-26,15,4,11100
210,2023-06-26,96,8,44200
211,2023-06-27,73,4,12100
212,2023-06-27,88,1,750
213,2023-06-27,97,2,2500
214,2023-06-27,19,6,21600
215,2023-06-27,98,3,6375
216,2023-06-27,54,2,3000
217,2023-06-28,66,1,900
218,2023-06-28,99,2,2500
219,2023-06-30,33,1,625
